run,scale,mse
6163,96.7825193882,1.33618274828
7944,338.710327045,1.35189027497
3908,44.1832890829,1.35395586586
9674,101.673635945,1.35447273617
13494,149.703904623,1.36157386325
10014,121.464035105,1.37207435458
10044,123.000870358,1.37948030912
7915,310.644510047,1.38624770587
2101,44.2755720245,1.38825615859
10757,130.311380512,1.38898737292
10008,129.099641695,1.38916102469
7927,335.179943922,1.38977629125
3896,45.7588535146,1.39184694186
10025,129.247406366,1.39228177325
423,65.5480319478,1.39350561482
10778,130.846526389,1.39544797076
2103,49.9476126843,1.39871773978
10024,129.332505142,1.40442281702
1970,70.3361892811,1.40548606161
10011,129.328281944,1.40622324532
10013,129.326099649,1.40631912146
10005,129.326919602,1.40632390236
10016,129.326919602,1.40632390236
10033,129.326919602,1.40632390236
10032,129.326919602,1.40632390236
10029,129.326919602,1.40632390236
10028,129.326919602,1.40632390236
10027,129.326919602,1.40632390236
10020,129.326919602,1.40632390236
10035,129.326919602,1.40632390236
10034,129.326919602,1.40632390236
10038,129.326919602,1.40632390236
10039,129.326919602,1.40632390236
10041,129.326919602,1.40632390236
10042,129.326919602,1.40632390236
10021,129.326919602,1.40632390236
10026,129.326919602,1.40632390236
12885,80.7412671764,1.40634768935
12887,85.3571164729,1.40694289986
10749,129.034142358,1.40947286913
10774,134.257396352,1.41003423875
79,54.4335178922,1.41139351175
3528,118.262022819,1.41764149012
8964,91.3122433418,1.41772886003
10012,129.368794284,1.41998194656
2104,48.6396069536,1.42002555746
10018,129.125547143,1.4214232709
10009,130.174153842,1.42354855815
6633,123.695416761,1.43825913064
10755,128.987552228,1.44097255899
12381,33.4160972339,1.44995862444
10744,124.620668959,1.4505121034
6447,174.494473693,1.45122513617
179,86.1156671168,1.4519901442
412,58.9385087004,1.45355884843
12900,83.664088465,1.45590375837
5534,74.1057275767,1.46605550699
167,89.7126626535,1.47174719662
5500,74.3651301396,1.47250661482
13528,173.49883043,1.48032535809
1763,74.9273354575,1.48747192578
3904,45.8930714435,1.49315244158
12906,79.459966146,1.49669805902
7073,110.329303526,1.49791538629
10748,141.955422222,1.49923271593
10753,122.765586755,1.50195402999
3934,45.3345212205,1.50445118572
2092,42.4248073997,1.50596844833
10760,131.220895635,1.50713017003
2129,59.2508046928,1.50858233322
3898,44.5248280724,1.5132042525
11862,63.0895346634,1.51366634045
3899,43.2081496543,1.51862579786
3927,43.5134120553,1.51945158556
3989,91.1748179887,1.51985124159
12892,83.8420177625,1.52001271152
12889,85.3624821822,1.52041444247
10756,128.905679506,1.52363867544
3920,43.5516782547,1.52897379495
3923,43.5517577211,1.52921530214
3922,43.5517577211,1.52921530214
3924,43.5517577211,1.52921530214
3936,43.5517577211,1.52921530214
3919,43.5517577211,1.52921530214
3916,43.5517577211,1.52921530214
3911,43.5517577211,1.52921530214
3910,43.5517577211,1.52921530214
3925,43.5517577211,1.52921530214
3918,43.5517577211,1.52921530214
3928,43.5517577211,1.52921530214
3917,43.5517577211,1.52921530214
3906,43.5517577211,1.52921530214
3929,43.5517577211,1.52921530214
3932,43.5517577211,1.52921530214
3931,43.5517577211,1.52921530214
3901,43.5517118552,1.52921679356
3915,43.5518648339,1.52926626939
7840,100.964741541,1.53031807686
3902,43.5517953827,1.53034105142
3903,43.231112666,1.53534667467
7856,109.520186257,1.53564582644
6662,111.043463893,1.53653294069
203,90.7145567815,1.53760218605
3897,43.6464817885,1.53770190994
3914,43.5622304382,1.53915066055
3251,94.0152794484,1.54291744065
9645,125.676907241,1.54689960356
5299,52.3994995855,1.54837196154
9450,38.3994564424,1.5562192185
13884,64.8690745793,1.55647373756
10783,88.0714958394,1.55980370339
6476,105.462764726,1.56009692673
7851,109.450204143,1.56017860641
7070,111.609703488,1.56152465768
1775,79.1231346183,1.56227483594
11861,65.7987290059,1.56611080639
7948,341.614925195,1.57165436425
12884,89.2215867679,1.57538656297
7931,342.007983707,1.57752016668
190,86.1948145208,1.58275223399
173,83.5461736951,1.58443564479
175,86.0256046481,1.58532924714
7843,108.960060623,1.59051623035
7833,110.024236299,1.59297881303
7845,109.508527046,1.59450639015
169,86.1287539766,1.595481985
180,86.2291605041,1.59800798697
165,86.2291605041,1.59800798697
176,86.2291605041,1.59800798697
181,86.2291605041,1.59800798697
186,86.2291605041,1.59800798697
187,86.2291605041,1.59800798697
188,86.2291605041,1.59800798697
189,86.2291605041,1.59800798697
192,86.2291605041,1.59800798697
193,86.2291605041,1.59800798697
195,86.2291605041,1.59800798697
198,86.2291605041,1.59800798697
199,86.2291605041,1.59800798697
194,86.2291605041,1.59800798697
201,86.2291605041,1.59800798697
202,86.2291605041,1.59800798697
184,86.2369485524,1.59808277604
174,86.2520354513,1.59837807852
171,86.2347250712,1.59954368217
7870,83.7851841407,1.59960817968
196,86.2669454094,1.60009155568
168,86.8636456477,1.60017056354
7866,110.309329199,1.60053048701
7865,109.483493742,1.60614722393
7861,109.483493742,1.60614722393
7867,109.483493742,1.60614722393
7860,109.483493742,1.60614722393
